Date : 2025-01-27 23:50:10
Directory : d:\LanguageLearnig\Avalonia\ChatClient
Total : 282 files,  58536 codes, 1613 comments, 1671 blanks, all 61820 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ChatClient.BaseService\obj                                                                                                                        |          9 |      5,240 |         11 |          8 |      5,259 |
| ChatClient.BaseService\obj (Files)                                                                                                                |          5 |      5,191 |          0 |          0 |      5,191 |
| ChatClient.BaseService\obj\Debug                                                                                                                  |          4 |         49 |         11 |          8 |         68 |
| ChatClient.BaseService\obj\Debug\net8.0                                                                                                           |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Client                                                                                                                                 |         39 |      5,326 |        133 |        127 |      5,586 |
| ChatClient.Client (Files)                                                                                                                         |          3 |         78 |         19 |         18 |        115 |
| ChatClient.Client\Client                                                                                                                          |          3 |        152 |         14 |         29 |        195 |
| ChatClient.Client\IOServer                                                                                                                        |          2 |         71 |         33 |         17 |        121 |
| ChatClient.Client\IOServer\Handler                                                                                                                |          2 |         71 |         33 |         17 |        121 |
| ChatClient.Client\MessageOperate                                                                                                                  |         10 |        169 |         34 |         40 |        243 |
| ChatClient.Client\MessageOperate (Files)                                                                                                          |          3 |        123 |         34 |         25 |        182 |
| ChatClient.Client\MessageOperate\Processor                                                                                                        |          7 |         46 |          0 |         15 |         61 |
| ChatClient.Client\bin                                                                                                                             |          2 |      1,943 |          0 |          0 |      1,943 |
| ChatClient.Client\bin\Debug                                                                                                                       |          1 |        954 |          0 |          0 |        954 |
| ChatClient.Client\bin\Debug\net8.0                                                                                                                |          1 |        954 |          0 |          0 |        954 |
| ChatClient.Client\bin\Release                                                                                                                     |          1 |        989 |          0 |          0 |        989 |
| ChatClient.Client\bin\Release\net8.0                                                                                                              |          1 |        989 |          0 |          0 |        989 |
| ChatClient.Client\obj                                                                                                                             |         19 |      2,913 |         33 |         23 |      2,969 |
| ChatClient.Client\obj (Files)                                                                                                                     |          8 |      2,786 |          0 |          0 |      2,786 |
| ChatClient.Client\obj\Debug                                                                                                                       |          7 |         78 |         22 |         15 |        115 |
| ChatClient.Client\obj\Debug\net8.0                                                                                                                |          7 |         78 |         22 |         15 |        115 |
| ChatClient.Client\obj\Release                                                                                                                     |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Client\obj\Release\net8.0                                                                                                              |          4 |         49 |         11 |          8 |         68 |
| ChatClient.DataBase                                                                                                                               |         44 |      8,723 |      1,001 |        329 |     10,053 |
| ChatClient.DataBase (Files)                                                                                                                       |          4 |         74 |          3 |         17 |         94 |
| ChatClient.DataBase\Data                                                                                                                          |          6 |        133 |          0 |         39 |        172 |
| ChatClient.DataBase\Repository                                                                                                                    |          6 |         55 |          0 |         12 |         67 |
| ChatClient.DataBase\UnitOfWork                                                                                                                    |         11 |      1,047 |        976 |        245 |      2,268 |
| ChatClient.DataBase\UnitOfWork (Files)                                                                                                            |          7 |        906 |        795 |        210 |      1,911 |
| ChatClient.DataBase\UnitOfWork\Collections                                                                                                        |          4 |        141 |        181 |         35 |        357 |
| ChatClient.DataBase\bin                                                                                                                           |          4 |      3,190 |          0 |          0 |      3,190 |
| ChatClient.DataBase\bin\Debug                                                                                                                     |          2 |      1,577 |          0 |          0 |      1,577 |
| ChatClient.DataBase\bin\Debug\net8.0                                                                                                              |          2 |      1,577 |          0 |          0 |      1,577 |
| ChatClient.DataBase\bin\Release                                                                                                                   |          2 |      1,613 |          0 |          0 |      1,613 |
| ChatClient.DataBase\bin\Release\net8.0                                                                                                            |          2 |      1,613 |          0 |          0 |      1,613 |
| ChatClient.DataBase\obj                                                                                                                           |         13 |      4,224 |         22 |         16 |      4,262 |
| ChatClient.DataBase\obj (Files)                                                                                                                   |          5 |      4,126 |          0 |          0 |      4,126 |
| ChatClient.DataBase\obj\Debug                                                                                                                     |          4 |         49 |         11 |          8 |         68 |
| ChatClient.DataBase\obj\Debug\net8.0                                                                                                              |          4 |         49 |         11 |          8 |         68 |
| ChatClient.DataBase\obj\Release                                                                                                                   |          4 |         49 |         11 |          8 |         68 |
| ChatClient.DataBase\obj\Release\net8.0                                                                                                            |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Desktop                                                                                                                                |         58 |     20,108 |         97 |        351 |     20,556 |
| ChatClient.Desktop (Files)                                                                                                                        |          6 |        238 |         28 |         35 |        301 |
| ChatClient.Desktop\ViewModels                                                                                                                     |          9 |        871 |          9 |        172 |      1,052 |
| ChatClient.Desktop\ViewModels (Files)                                                                                                             |          1 |        154 |          4 |         30 |        188 |
| ChatClient.Desktop\ViewModels\ChatPages                                                                                                           |          4 |        211 |          0 |         37 |        248 |
| ChatClient.Desktop\ViewModels\Login                                                                                                               |          3 |        355 |          3 |         71 |        429 |
| ChatClient.Desktop\ViewModels\UserControls                                                                                                        |          1 |        151 |          2 |         34 |        187 |
| ChatClient.Desktop\Views                                                                                                                          |         18 |      1,858 |         30 |         97 |      1,985 |
| ChatClient.Desktop\Views (Files)                                                                                                                  |          2 |        231 |          0 |         18 |        249 |
| ChatClient.Desktop\Views\ChatPages                                                                                                                |          8 |        587 |          0 |         23 |        610 |
| ChatClient.Desktop\Views\Login                                                                                                                    |          6 |        536 |          0 |         21 |        557 |
| ChatClient.Desktop\Views\UserControls                                                                                                             |          2 |        504 |         30 |         35 |        569 |
| ChatClient.Desktop\bin                                                                                                                            |         10 |      8,163 |          0 |          0 |      8,163 |
| ChatClient.Desktop\bin\Debug                                                                                                                      |          3 |      2,655 |          0 |          0 |      2,655 |
| ChatClient.Desktop\bin\Debug\net8.0                                                                                                               |          3 |      2,655 |          0 |          0 |      2,655 |
| ChatClient.Desktop\bin\Release                                                                                                                    |          7 |      5,508 |          0 |          0 |      5,508 |
| ChatClient.Desktop\bin\Release\net8.0                                                                                                             |          7 |      5,508 |          0 |          0 |      5,508 |
| ChatClient.Desktop\bin\Release\net8.0 (Files)                                                                                                     |          3 |      2,522 |          0 |          0 |      2,522 |
| ChatClient.Desktop\bin\Release\net8.0\win-x64                                                                                                     |          4 |      2,986 |          0 |          0 |      2,986 |
| ChatClient.Desktop\bin\Release\net8.0\win-x64 (Files)                                                                                             |          3 |      2,965 |          0 |          0 |      2,965 |
| ChatClient.Desktop\bin\Release\net8.0\win-x64\publish                                                                                             |          1 |         21 |          0 |          0 |         21 |
| ChatClient.Desktop\obj                                                                                                                            |         15 |      8,978 |         30 |         47 |      9,055 |
| ChatClient.Desktop\obj (Files)                                                                                                                    |          5 |      6,603 |          0 |          0 |      6,603 |
| ChatClient.Desktop\obj\Debug                                                                                                                      |          3 |         52 |         10 |         17 |         79 |
| ChatClient.Desktop\obj\Debug\net8.0                                                                                                               |          3 |         52 |         10 |         17 |         79 |
| ChatClient.Desktop\obj\Release                                                                                                                    |          7 |      2,323 |         20 |         30 |      2,373 |
| ChatClient.Desktop\obj\Release\net8.0                                                                                                             |          7 |      2,323 |         20 |         30 |      2,373 |
| ChatClient.Desktop\obj\Release\net8.0 (Files)                                                                                                     |          3 |         48 |         10 |         15 |         73 |
| ChatClient.Desktop\obj\Release\net8.0\win-x64                                                                                                     |          4 |      2,275 |         10 |         15 |      2,300 |
| ChatClient.Tool                                                                                                                                   |         35 |      4,712 |         22 |         93 |      4,827 |
| ChatClient.Tool (Files)                                                                                                                           |          2 |         43 |          0 |          8 |         51 |
| ChatClient.Tool\Data                                                                                                                              |          8 |        252 |          0 |         46 |        298 |
| ChatClient.Tool\Data (Files)                                                                                                                      |          7 |        206 |          0 |         38 |        244 |
| ChatClient.Tool\Data\UserOption                                                                                                                   |          1 |         46 |          0 |          8 |         54 |
| ChatClient.Tool\Events                                                                                                                            |          3 |         15 |          0 |          8 |         23 |
| ChatClient.Tool\ManagerInterface                                                                                                                  |          5 |         43 |          0 |         13 |         56 |
| ChatClient.Tool\Tools                                                                                                                             |          2 |         12 |          0 |          2 |         14 |
| ChatClient.Tool\bin                                                                                                                               |          2 |      1,807 |          0 |          0 |      1,807 |
| ChatClient.Tool\bin\Debug                                                                                                                         |          1 |        886 |          0 |          0 |        886 |
| ChatClient.Tool\bin\Debug\net8.0                                                                                                                  |          1 |        886 |          0 |          0 |        886 |
| ChatClient.Tool\bin\Release                                                                                                                       |          1 |        921 |          0 |          0 |        921 |
| ChatClient.Tool\bin\Release\net8.0                                                                                                                |          1 |        921 |          0 |          0 |        921 |
| ChatClient.Tool\obj                                                                                                                               |         13 |      2,540 |         22 |         16 |      2,578 |
| ChatClient.Tool\obj (Files)                                                                                                                       |          5 |      2,442 |          0 |          0 |      2,442 |
| ChatClient.Tool\obj\Debug                                                                                                                         |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Tool\obj\Debug\net8.0                                                                                                                  |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Tool\obj\Release                                                                                                                       |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Tool\obj\Release\net8.0                                                                                                                |          4 |         49 |         11 |          8 |         68 |
| ChatServer.Common                                                                                                                                 |         48 |      4,950 |        223 |        467 |      5,640 |
| ChatServer.Common (Files)                                                                                                                         |          2 |         32 |          0 |          6 |         38 |
| ChatServer.Common\Helper                                                                                                                          |          1 |         74 |         31 |         10 |        115 |
| ChatServer.Common\Protobuf                                                                                                                        |          5 |      3,093 |        124 |        406 |      3,623 |
| ChatServer.Common\bin                                                                                                                             |          5 |        587 |          0 |          0 |        587 |
| ChatServer.Common\bin\Debug                                                                                                                       |          4 |        355 |          0 |          0 |        355 |
| ChatServer.Common\bin\Debug\net6.0                                                                                                                |          3 |        123 |          0 |          0 |        123 |
| ChatServer.Common\bin\Debug\net8.0                                                                                                                |          1 |        232 |          0 |          0 |        232 |
| ChatServer.Common\bin\Release                                                                                                                     |          1 |        232 |          0 |          0 |        232 |
| ChatServer.Common\bin\Release\net8.0                                                                                                              |          1 |        232 |          0 |          0 |        232 |
| ChatServer.Common\obj                                                                                                                             |         35 |      1,164 |         68 |         45 |      1,277 |
| ChatServer.Common\obj (Files)                                                                                                                     |         14 |        981 |          0 |          0 |        981 |
| ChatServer.Common\obj\Debug                                                                                                                       |         17 |        151 |         57 |         37 |        245 |
| ChatServer.Common\obj\Debug\net6.0                                                                                                                |         13 |        119 |         45 |         29 |        193 |
| ChatServer.Common\obj\Debug\net8.0                                                                                                                |          4 |         32 |         12 |          8 |         52 |
| ChatServer.Common\obj\Release                                                                                                                     |          4 |         32 |         11 |          8 |         51 |
| ChatServer.Common\obj\Release\net8.0                                                                                                              |          4 |         32 |         11 |          8 |         51 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\LanguageLearnig\Avalonia\ChatClient\.idea\.idea.ChatClient\.idea\avalonia.xml                                                                  | XML        |         32 |          0 |          0 |         32 |
| d:\LanguageLearnig\Avalonia\ChatClient\.idea\.idea.ChatClient\.idea\indexLayout.xml                                                               | XML        |          8 |          0 |          0 |          8 |
| d:\LanguageLearnig\Avalonia\ChatClient\.vs\ChatClient\v17\DocumentLayout.json                                                                     | JSON       |        499 |          0 |          0 |        499 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Behaviors\PasswordBoxBehavior.cs                                                       | C#         |         33 |          0 |          4 |         37 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Behaviors\WindowDragBehavior.cs                                                        | C#         |         48 |          0 |          7 |         55 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\ChatClient.Avalonia.csproj                                                             | XML        |         18 |          0 |          5 |         23 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ChatPageBase.cs                                                                 | C#         |         23 |          0 |          4 |         27 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\SukiChatViews.cs                                                                | C#         |         60 |          0 |         17 |         77 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ValidateBindableBase.cs                                                         | C#         |         35 |          4 |         13 |         52 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ViewLoacator.cs                                                                 | C#         |         26 |          0 |          9 |         35 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Common\ViewModelBase.cs                                                                | C#         |         24 |         12 |          5 |         41 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Converter\EqualityConverter.cs                                                         | C#         |         16 |          0 |          4 |         20 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\SystemFileDialog.cs                                                                    | C#         |         62 |          0 |          7 |         69 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Validation\InputRequiredAttribute.cs                                                   | C#         |         13 |          0 |          4 |         17 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Validation\LengthEqualAttribute.cs                                                     | C#         |         14 |          0 |          5 |         19 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\Validation\PasswordValidationAttribute.cs                                              | C#         |         24 |          0 |          8 |         32 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\bin\Debug\net8.0\ChatClient.Avalonia.deps.json                                         | JSON       |      1,230 |          0 |          0 |      1,230 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\bin\Release\net8.0\ChatClient.Avalonia.deps.json                                       | JSON       |      1,103 |          0 |          0 |      1,103 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\ChatClient.Avalonia.csproj.nuget.dgspec.json                                       | JSON       |        254 |          0 |          0 |        254 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\ChatClient.Avalonia.csproj.nuget.g.props                                           | XML        |         24 |          0 |          0 |         24 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\ChatClient.Avalonia.csproj.nuget.g.targets                                         | XML        |         12 |          0 |          0 |         12 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                        | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Debug\net8.0\ChatClient.Avalonia.AssemblyInfo.cs                                   | C#         |          9 |          9 |          5 |         23 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Debug\net8.0\ChatClient.Avalonia.GeneratedMSBuildEditorConfig.editorconfig         | Properties |         20 |          0 |          1 |         21 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Debug\net8.0\ChatClient.Avalonia.GlobalUsings.g.cs                                 | C#         |         17 |          1 |          1 |         19 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                      | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Release\net8.0\ChatClient.Avalonia.AssemblyInfo.cs                                 | C#         |          9 |          9 |          5 |         23 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Release\net8.0\ChatClient.Avalonia.GeneratedMSBuildEditorConfig.editorconfig       | Properties |         20 |          0 |          1 |         21 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\Release\net8.0\ChatClient.Avalonia.GlobalUsings.g.cs                               | C#         |         17 |          1 |          1 |         19 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\project.assets.json                                                                | JSON       |      2,928 |          0 |          0 |      2,928 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Avalonia\obj\project.packagespec.json                                                           | JSON       |          1 |          0 |          0 |          1 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\BaseServiceExtension.cs                                                             | C#         |         23 |          4 |          5 |         32 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\ChatClient.BaseService.csproj                                                       | XML        |         20 |          0 |          6 |         26 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Helper\FileOperateHelper.cs                                                         | C#         |         51 |         17 |          6 |         74 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Helper\MessageHelper.cs                                                             | C#         |         55 |         12 |         14 |         81 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Helper\WebApiHelper.cs                                                              | C#         |        106 |          2 |         20 |        128 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\AppDataManager.cs                                                           | C#         |         18 |          1 |         10 |         29 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\ConnectionManager.cs                                                        | C#         |         13 |          0 |          4 |         17 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\LoginDataManager.cs                                                         | C#         |         23 |          0 |          5 |         28 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\ThemeStyleManager.cs                                                        | C#         |         62 |          3 |         13 |         78 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Manager\UserManager.cs                                                              | C#         |        180 |         12 |         33 |        225 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\BaseService.cs                                                             | C#         |          9 |          0 |          2 |         11 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\FriendService.cs                                                           | C#         |         57 |          0 |          9 |         66 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\LoginService.cs                                                            | C#         |        108 |         18 |         20 |        146 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\RegisterService.cs                                                         | C#         |         26 |          0 |          7 |         33 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Services\UserService.cs                                                             | C#         |         99 |         14 |         23 |        136 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\Tools\ImageTool.cs                                                                  | C#         |         56 |          5 |         11 |         72 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\bin\Debug\net8.0\ChatClient.BaseService.deps.json                                   | JSON       |      1,973 |          0 |          0 |      1,973 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\bin\Debug\net8.0\ChatClient.BaseService.runtimeconfig.json                          | JSON       |         13 |          0 |          0 |         13 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.dgspec.json                                 | JSON       |        497 |          0 |          0 |        497 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.g.props                                     | XML        |         28 |          0 |          0 |         28 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\ChatClient.BaseService.csproj.nuget.g.targets                                   | XML        |         16 |          0 |          0 |         16 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs                     | C#         |          3 |          1 |          1 |          5 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.AssemblyInfo.cs                             | C#         |          9 |          9 |          5 |         23 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.GeneratedMSBuildEditorConfig.editorconfig   | Properties |         20 |          0 |          1 |         21 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\Debug\net8.0\ChatClient.BaseService.GlobalUsings.g.cs                           | C#         |         17 |          1 |          1 |         19 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\project.assets.json                                                             | JSON       |      4,649 |          0 |          0 |      4,649 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.BaseService\obj\project.packagespec.json                                                        | JSON       |          1 |          0 |          0 |          1 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ChatClient.Client.csproj                                                                 | XML        |         25 |          0 |          7 |         32 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ClientExtenstions.cs                                                                     | C#         |         28 |         14 |          4 |         46 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\ClientModule.cs                                                                          | C#         |         25 |          5 |          7 |         37 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\ISocketClient.cs                                                                  | C#         |         12 |          0 |          3 |         15 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\SocketClient.cs                                                                   | C#         |        126 |         14 |         22 |        162 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\Client\SocketClientBuilder.cs                                                            | C#         |         14 |          0 |          4 |         18 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\IOServer\Handler\ClientConnectHandler.cs                                                 | C#         |         40 |         23 |          9 |         72 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\IOServer\Handler\EchoClientHandler.cs                                                    | C#         |         31 |         10 |          8 |         49 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\IProcessor.cs                                                             | C#         |          8 |          0 |          2 |         10 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\ProcessorBase.cs                                                          | C#         |         29 |          0 |          6 |         35 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\CommonResponseProcessor.cs                                      | C#         |          8 |          0 |          2 |         10 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\FriendRequestProcessor.cs                                       | C#         |          4 |          0 |          2 |          6 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\FriendResponeseProcessor.cs                                     | C#         |          3 |          0 |          2 |          5 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\HeartBeatProcessor.cs                                           | C#         |         18 |          0 |          2 |         20 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\LogoutCommandProcessor.cs                                       | C#         |          5 |          0 |          2 |          7 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\NewFriendMessageProcessor.cs                                    | C#         |          3 |          0 |          2 |          5 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\Processor\UserMessageProcessor.cs                                         | C#         |          5 |          0 |          3 |          8 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\MessageOperate\ProtobufDispacher.cs                                                      | C#         |         86 |         34 |         17 |        137 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\bin\Debug\net8.0\ChatClient.Client.deps.json                                             | JSON       |        954 |          0 |          0 |        954 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\bin\Release\net8.0\ChatClient.Client.deps.json                                           | JSON       |        989 |          0 |          0 |        989 |
| d:\LanguageLearnig\Avalonia\ChatClient\ChatClient.Client\obj\ChatClient.Client.csproj.nuget.dgspec.json                                           | JSON       |        253 |          0 |          0 |        253 |
