Date : 2025-01-31 22:29:04
Directory : d:\LanguageLearnig\Avalonia\ChatClient
Total : 281 files,  54694 codes, 1694 comments, 1829 blanks, all 58217 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         46 |     42,789 |          0 |          0 |     42,789 |
| C#         |        174 |      9,362 |      1,693 |      1,705 |     12,760 |
| XML        |         42 |      2,156 |          1 |         79 |      2,236 |
| Properties |         19 |        387 |          0 |         45 |        432 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        281 |     54,694 |      1,694 |      1,829 |     58,217 |
| .idea                                                                                                                                             |          2 |         40 |          0 |          0 |         40 |
| .idea\.idea.ChatClient                                                                                                                            |          2 |         40 |          0 |          0 |         40 |
| .idea\.idea.ChatClient\.idea                                                                                                                      |          2 |         40 |          0 |          0 |         40 |
| .vs                                                                                                                                               |          1 |        499 |          0 |          0 |        499 |
| .vs\ChatClient                                                                                                                                    |          1 |        499 |          0 |          0 |        499 |
| .vs\ChatClient\v17                                                                                                                                |          1 |        499 |          0 |          0 |        499 |
| ChatClient.Avalonia                                                                                                                               |         27 |      4,943 |         38 |        108 |      5,089 |
| ChatClient.Avalonia (Files)                                                                                                                       |          2 |         80 |          0 |         12 |         92 |
| ChatClient.Avalonia\Behaviors                                                                                                                     |          2 |         81 |          0 |         11 |         92 |
| ChatClient.Avalonia\Common                                                                                                                        |          5 |        168 |         16 |         48 |        232 |
| ChatClient.Avalonia\Converter                                                                                                                     |          1 |         16 |          0 |          4 |         20 |
| ChatClient.Avalonia\Validation                                                                                                                    |          3 |         51 |          0 |         17 |         68 |
| ChatClient.Avalonia\bin                                                                                                                           |          1 |      1,230 |          0 |          0 |      1,230 |
| ChatClient.Avalonia\bin\Debug                                                                                                                     |          1 |      1,230 |          0 |          0 |      1,230 |
| ChatClient.Avalonia\bin\Debug\net8.0                                                                                                              |          1 |      1,230 |          0 |          0 |      1,230 |
| ChatClient.Avalonia\obj                                                                                                                           |         13 |      3,317 |         22 |         16 |      3,355 |
| ChatClient.Avalonia\obj (Files)                                                                                                                   |          5 |      3,219 |          0 |          0 |      3,219 |
| ChatClient.Avalonia\obj\Debug                                                                                                                     |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Debug\net8.0                                                                                                              |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Release                                                                                                                   |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Avalonia\obj\Release\net8.0                                                                                                            |          4 |         49 |         11 |          8 |         68 |
| ChatClient.BaseService                                                                                                                            |         33 |      8,382 |        157 |        253 |      8,792 |
| ChatClient.BaseService (Files)                                                                                                                    |          2 |         46 |          5 |         12 |         63 |
| ChatClient.BaseService\Helper                                                                                                                     |          3 |        212 |         31 |         40 |        283 |
| ChatClient.BaseService\Manager                                                                                                                    |          5 |        215 |          9 |         56 |        280 |
| ChatClient.BaseService\Mapper                                                                                                                     |          2 |         47 |          1 |          8 |         56 |
| ChatClient.BaseService\MessageHandler                                                                                                             |          3 |        126 |         10 |         20 |        156 |
| ChatClient.BaseService\Services                                                                                                                   |          6 |        454 |         85 |         98 |        637 |
| ChatClient.BaseService\Tools                                                                                                                      |          1 |         56 |          5 |         11 |         72 |
| ChatClient.BaseService\bin                                                                                                                        |          2 |      1,986 |          0 |          0 |      1,986 |
| ChatClient.BaseService\bin\Debug                                                                                                                  |          2 |      1,986 |          0 |          0 |      1,986 |
| ChatClient.BaseService\bin\Debug\net8.0                                                                                                           |          2 |      1,986 |          0 |          0 |      1,986 |
| ChatClient.BaseService\obj                                                                                                                        |          9 |      5,240 |         11 |          8 |      5,259 |
| ChatClient.BaseService\obj (Files)                                                                                                                |          5 |      5,191 |          0 |          0 |      5,191 |
| ChatClient.BaseService\obj\Debug                                                                                                                  |          4 |         49 |         11 |          8 |         68 |
| ChatClient.BaseService\obj\Debug\net8.0                                                                                                           |          4 |         49 |         11 |          8 |         68 |
| ChatClient.Client                                                                                                                                 |         40 |      4,347 |        134 |        132 |      4,613 |
| ChatClient.Client (Files)                                                                                                                         |          3 |         78 |         19 |         18 |        115 |
| ChatClient.Client\Client                                                                                                                          |          3 |        154 |         15 |         30 |        199 |
| ChatClient.Client\IOServer                                                                                                                        |          2 |         71 |         33 |         17 |        121 |
| ChatClient.Client\IOServer\Handler                                                                                                                |          2 |         71 |         33 |         17 |        121 |
| ChatClient.Client\MessageOperate                                                                                                                  |         12 |        177 |         34 |         44 |        255 |
| ChatClient.Client\MessageOperate (Files)                                                                                                          |          3 |        123 |         34 |         25 |        182 |
